filename,detected_streaks,proc_time_ms,status
1275.fits,5,64.63,OK
1276.fits,2,66.40,OK
1277.fits,4,68.14,OK
1278.fits,5,58.80,OK
1279.fits,3,63.25,OK
128.fits,2,59.10,OK
1280.fits,4,59.48,OK
1281.fits,4,56.34,OK
1282.fits,11,63.12,OK
1283.fits,4,73.66,OK
1284.fits,12,68.89,OK
1285.fits,2,69.21,OK
1286.fits,5,64.05,OK
1287.fits,3,65.13,OK
1288.fits,4,70.18,OK
1289.fits,5,62.17,OK
129.fits,2,55.97,OK
1290.fits,6,61.40,OK
1291.fits,10,63.30,OK
1292.fits,4,62.46,OK
1293.fits,2,77.62,OK
1294.fits,6,71.68,OK
1295.fits,3,72.12,OK
1296.fits,5,61.71,OK
1297.fits,8,69.70,OK
1298.fits,2,59.15,OK
1299.fits,3,56.93,OK
13.fits,12,71.65,OK
130.fits,1,59.15,OK
1300.fits,4,60.93,OK
1301.fits,11,71.15,OK
1302.fits,11,63.73,OK
1303.fits,3,58.06,OK
1304.fits,3,56.96,OK
1305.fits,3,61.92,OK
1306.fits,5,60.96,OK
1307.fits,6,61.29,OK
1308.fits,11,57.73,OK
1309.fits,2,62.04,OK
131.fits,6,66.53,OK
1310.fits,3,64.32,OK
1311.fits,2,79.75,OK
1312.fits,3,55.78,OK
1313.fits,3,83.57,OK
1314.fits,3,57.70,OK
1315.fits,3,60.41,OK
1316.fits,4,64.82,OK
1317.fits,4,58.96,OK
1318.fits,2,64.67,OK
1319.fits,6,66.65,OK
132.fits,3,71.77,OK
1320.fits,4,63.49,OK
1321.fits,4,63.17,OK
1322.fits,9,67.78,OK
1323.fits,1,66.90,OK
1324.fits,4,61.40,OK
1325.fits,6,62.49,OK
1326.fits,1,63.71,OK
1327.fits,1,64.08,OK
1328.fits,2,64.14,OK
1329.fits,2,58.73,OK
133.fits,8,64.39,OK
1330.fits,2,57.00,OK
1331.fits,3,62.91,OK
1332.fits,5,60.67,OK
1333.fits,2,63.14,OK
1334.fits,1,58.98,OK
1335.fits,2,61.88,OK
1336.fits,7,60.70,OK
1337.fits,6,62.16,OK
1338.fits,9,76.21,OK
1339.fits,3,64.87,OK
134.fits,2,57.55,OK
1340.fits,3,60.79,OK
1341.fits,1,61.10,OK
1342.fits,9,69.55,OK
1343.fits,6,61.06,OK
1344.fits,7,66.24,OK
1345.fits,3,64.97,OK
1346.fits,0,56.84,OK
1347.fits,5,62.93,OK
1348.fits,3,62.34,OK
1349.fits,11,69.76,OK
135.fits,2,72.26,OK
1350.fits,3,64.13,OK
1351.fits,5,61.23,OK
1352.fits,12,82.05,OK
1353.fits,1,63.57,OK
1354.fits,1,65.36,OK
1355.fits,3,57.41,OK
1356.fits,3,65.52,OK
1357.fits,1,57.85,OK
1358.fits,5,69.75,OK
1359.fits,2,69.45,OK
136.fits,1,65.39,OK
1360.fits,5,63.71,OK
1361.fits,3,69.29,OK
1362.fits,3,73.04,OK
1363.fits,1,60.01,OK
1364.fits,5,60.75,OK
1365.fits,2,61.31,OK
1366.fits,2,64.12,OK
1367.fits,7,61.93,OK
1368.fits,3,64.43,OK
1369.fits,5,63.59,OK
137.fits,3,64.55,OK
1370.fits,3,60.30,OK
1371.fits,3,60.22,OK
1372.fits,2,57.25,OK
1373.fits,2,59.96,OK
1374.fits,4,52.07,OK
1375.fits,6,64.79,OK
1376.fits,1,61.51,OK
1377.fits,3,59.59,OK
1378.fits,1,59.20,OK
1379.fits,5,63.04,OK
138.fits,2,51.30,OK
1380.fits,3,54.13,OK
1381.fits,5,69.43,OK
1382.fits,4,59.89,OK
1383.fits,3,58.00,OK
1384.fits,2,61.17,OK
